Code,ISIN,DelistingDate,Industry
4007,JP3693600003,2016/12/28,Chemicals
4033,JP3681180000,2019/09/18,Chemicals
4117,JP3223400007,2018/05/08,Chemicals
4201,JP3710000005,2016/11/09,Chemicals
4217,JP3785000005,2020/06/19,Chemicals
4239,JP3858000007,2019/11/08,Chemicals
4281,JP3549030009,2016/09/28,Services
4291,JP3385930007,2019/04/18,Information & Communication
4358,JP3539100002,2016/12/28,Information & Communication
4508,JP3469000008,2020/02/27,Pharmaceutical
4557,JP3131450003,2021/01/13,Pharmaceutical
4585,JP3944320005,2020/03/16,Pharmaceutical
4589,US00510T1097,2016/11/28,Pharmaceutical
4656,JP3342600008,2018/09/26,Services
4695,JP3860290000,2020/03/26,Services
4775,JP3432300006,2018/09/26,Retail Trade
4779,JP3436170009,2021/01/19,Information & Communication
4793,JP3818580007,2018/01/29,Information & Communication
4842,JP3946700006,2017/08/10,Information & Communication
4850,US2605431038,2016/12/08,Chemicals
4924,JP3638700009,2019/04/22,Chemicals
4965,JP3433600008,2017/12/25,Chemicals
4989,JP3148000007,2017/04/26,Chemicals
5002,JP3366800005,2019/03/27,Oil & Coal Products
5012,JP3428600005,2017/03/29,Oil & Coal Products
5196,JP3241200009,2016/10/21,Transportation Equipment
5234,JP3477000008,2016/07/27,Glass & Ceramics Products
5289,JP3427300003,2018/09/26,Glass & Ceramics Products
5398,JP3702000005,2016/09/26,Glass & Ceramics Products
5413,JP3676200003,2018/12/26,Iron & Steel
5448,JP3576000008,2016/07/14,Iron & Steel
5453,JP3610200002,2018/07/30,Iron & Steel
5456,JP3112600006,2019/07/23,Iron & Steel
5614,JP3222000006,2021/02/17,Iron & Steel
5758,JP3166880009,2019/03/07,Nonferrous Metals
5815,JP3194400002,2018/03/28,Nonferrous Metals
6065,JP3317000002,2020/08/26,Services
6075,JP3802990006,2016/10/31,Services
6079,JP3164570008,2019/03/13,Services
6084,JP3174430003,2018/09/26,Services
6097,JP3746820004,2019/08/29,Services
6112,JP3297400008,2020/03/29,Machinery
6163,JP3160830000,2017/01/30,Machinery
6179,JP3505960009,2019/07/31,Services
6256,JP3756350009,2020/03/30,Machinery
6259,JP3187400001,2016/08/01,Machinery
6274,JP3371700000,2020/05/25,Machinery
6300,JP3122520004,2019/07/30,Machinery
6314,JP3133400006,2018/06/27,Machinery
6375,JP3709200004,2016/03/29,Machinery
6397,JP3307000004,2017/09/11,Machinery
6476,JP3818750006,2016/05/23,Machinery
6478,JP3498200009,2019/01/25,Machinery
6534,JP3548780000,2018/10/26,Services
6581,JP3787400005,2017/07/24,Machinery
6591,JP3657600007,2020/02/27,Electric Appliances
6593,JP3983200001,2016/05/27,Electric Appliances
6624,JP3470200001,2019/09/27,Electric Appliances
6636,JP3350920009,2018/09/03,Electric Appliances
6661,JP3197710001,2016/12/28,Electric Appliances
6669,JP3346990009,2018/06/27,Electric Appliances
6716,JP3518600006,2018/04/24,Electric Appliances
6719,JP3818230009,2018/11/20,Electric Appliances
6722,JP3160680009,2021/01/28,Electric Appliances
6747,JP3284400003,2019/07/30,Electric Appliances
6751,JP3751800008,2017/09/27,Electric Appliances
6756,JP3294600006,2018/03/09,Electric Appliances
6767,JP3904400003,2017/01/24,Electric Appliances
6773,JP3780200006,2019/03/27,Electric Appliances
6791,JP3708000009,2017/07/27,Information & Communication
6796,JP3269200006,2019/03/25,Electric Appliances
6801,JP3591000009,2016/04/26,Electric Appliances
6816,JP3126200009,2018/12/26,Electric Appliances
6860,JP3328400001,2017/03/22,Electric Appliances
6878,JP3648500001,2016/03/17,Electric Appliances
6889,JP3172420006,2020/06/05,Electric Appliances
6891,JP3130700002,2016/07/25,Electric Appliances
6895,JP3499700007,2018/09/26,Electric Appliances
6911,JP3382400004,2018/08/29,Electric Appliances
6935,JP3732950005,2017/02/06,Electric Appliances
6945,JP3818200002,2020/12/24,Electric Appliances
6972,JP3167600000,2018/12/26,Electric Appliances
6974,JP3687600001,2016/07/27,Electric Appliances
6985,JP3944400005,2019/08/05,Electric Appliances
7230,JP3675300002,2020/11/11,Transportation Equipment
7243,JP3370000006,2016/03/29,Transportation Equipment
7248,JP3220400000,2017/05/08,Transportation Equipment
7251,JP3277230003,2020/11/11,Transportation Equipment
7260,JP3809600004,2018/01/23,Transportation Equipment
7262,JP3496600002,2016/07/27,Transportation Equipment
7274,JP3360300002,2020/11/11,Transportation Equipment
7312,JP3457000002,2017/07/27,Transportation Equipment
7323,JP3104920008,2020/09/29,Insurance
7404,JP3368800003,2020/04/20,Transportation Equipment
7415,JP3376800003,2016/02/18,Retail Trade
7432,JP3506000003,2017/01/16,Wholesale Trade
7465,JP3320900008,2020/02/27,Retail Trade
7517,JP3273000004,2018/03/16,Wholesale Trade
7591,JP3161140003,2020/03/30,Wholesale Trade
7612,JP3629300009,2020/10/03,Wholesale Trade
7684,JP3445020005,2020/07/28,Wholesale Trade
7703,JP3225800006,2020/10/28,Precision Instruments
7714,JP3925700001,2016/04/25,Precision Instruments
7778,JP3122390002,2019/07/01,Precision Instruments
7825,JP3161300003,2017/12/27,Other Products
7834,JP3878180003,2020/01/23,Other Products
7835,JP3154150001,2016/09/27,Other Products
7853,JP3130730009,2017/05/29,Other Products
7873,JP3100050008,2020/07/30,Other Products
7889,JP3273400006,2018/12/04,Other Products
7891,JP3754400004,2020/07/10,Chemicals
7913,JP3626200004,2019/07/30,Other Products
7920,JP3880400001,2017/05/29,Other Products
7968,JP3463400006,2017/07/27,Other Products
8028,JP3802600001,2020/11/12,Retail Trade
8036,JP3678800008,2020/05/18,Wholesale Trade
8044,JP3487800009,2020/06/18,Wholesale Trade
8073,JP3346450004,2016/08/01,Other Financing Business
8148,JP3155200003,2018/03/19,Wholesale Trade
8170,JP3121600005,2017/02/10,Other Products
8175,JP3835600002,2017/06/28,Retail Trade
8191,JP3783400009,2019/02/12,Wholesale Trade
8201,JP3315600001,2018/09/26,Retail Trade
8205,JP3712800006,2019/12/23,Wholesale Trade
8245,JP3872000009,2017/07/06,Retail Trade
8248,JP3679800007,2016/10/27,Retail Trade
8251,JP3781800002,2020/03/18,Retail Trade
8270,JP3949600005,2016/08/29,Retail Trade
8274,JP3597400005,2018/10/22,Retail Trade
