Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
76770,JP3931650000,Second Section,Wholesale Trade,"March,31",100
76810,JP3979320003,Second Section,Wholesale Trade,"September,30",100
76860,JP3206700001,Second Section,Wholesale Trade,"March,31",100
80010,JP3143600009,First Section,Wholesale Trade,"March,31",100
80020,JP3877600001,First Section,Wholesale Trade,"March,31",100
80060,JP3946000001,Second Section,Wholesale Trade,"March,31",100
80070,JP3455600001,First Section,Wholesale Trade,"March,31",100
80120,JP3647800006,First Section,Wholesale Trade,"March,31",100
80140,JP3528200003,First Section,Wholesale Trade,"March,31",100
80150,JP3635000007,First Section,Wholesale Trade,"March,31",100
80180,JP3328000009,First Section,Wholesale Trade,"March,31",100
80200,JP3217100001,First Section,Wholesale Trade,"March,31",100
80230,JP3483000000,Second Section,Wholesale Trade,"March,31",100
80250,JP3531400004,First Section,Wholesale Trade,"March,31",100
80300,JP3514600000,Second Section,Wholesale Trade,"March,31",100
80310,JP3893600001,First Section,Wholesale Trade,"March,31",100
80320,JP3694000005,First Section,Wholesale Trade,"March,31",100
80370,JP3219400003,First Section,Wholesale Trade,"March,31",100
80380,JP3596600001,First Section,Wholesale Trade,"March,31",100
80390,JP3532600008,Second Section,Wholesale Trade,"March,31",100
80410,JP3180000006,First Section,Wholesale Trade,"March,31",100
80430,JP3399100001,First Section,Wholesale Trade,"March,31",100
80460,JP3877200000,Second Section,Wholesale Trade,"March,31",100
80510,JP3936800006,First Section,Wholesale Trade,"March,31",100
80520,JP3534600006,First Section,Wholesale Trade,"March,31",100
80530,JP3404600003,First Section,Wholesale Trade,"March,31",100
80570,JP3157200001,First Section,Wholesale Trade,"July,20",100
80580,JP3898400001,First Section,Wholesale Trade,"March,31",100
80590,JP3475800003,First Section,Wholesale Trade,"March,31",100
80600,JP3243600008,First Section,Wholesale Trade,"December,31",100
80610,JP3414200000,First Section,Wholesale Trade,"March,31",100
80650,JP3322000005,First Section,Wholesale Trade,"March,31",100
80660,JP3886800006,Second Section,Wholesale Trade,"March,31",100
80680,JP3976600001,First Section,Wholesale Trade,"January,31",100
80700,JP3576600005,First Section,Wholesale Trade,"March,31",100
80740,JP3945200008,First Section,Wholesale Trade,"March,31",100
80750,JP3374000002,First Section,Wholesale Trade,"March,31",100
80770,JP3301000000,First Section,Wholesale Trade,"October,31",100
80780,JP3777800008,First Section,Wholesale Trade,"March,31",100
80790,JP3361200003,First Section,Wholesale Trade,"October,31",100
80810,JP3215000005,First Section,Wholesale Trade,"March,31",100
80840,JP3976200000,First Section,Wholesale Trade,"March,31",100
80850,JP3651800009,Second Section,Wholesale Trade,"March,31",100
80870,JP3828000004,First Section,Wholesale Trade,"March,31",100
80880,JP3151600008,First Section,Wholesale Trade,"March,31",100
80890,JP3641300003,First Section,Wholesale Trade,"March,31",100
80900,JP3362400008,First Section,Wholesale Trade,"December,31",100
80910,JP3664400003,First Section,Wholesale Trade,"March,31",100
80930,JP3257000004,First Section,Wholesale Trade,"March,31",100
80950,JP3150000002,First Section,Wholesale Trade,"November,30",100
80970,JP3323600001,First Section,Wholesale Trade,"March,31",100
80980,JP3146000009,First Section,Wholesale Trade,"March,31",100
81010,JP3276000001,First Section,Wholesale Trade,"March,31",100
81030,JP3920600008,First Section,Wholesale Trade,"March,31",100
81040,JP3273200000,First Section,Wholesale Trade,"March,31",100
81050,JP3875200002,Second Section,Wholesale Trade,"March,31",100
81080,JP3934400007,First Section,Wholesale Trade,"March,31",100
81150,JP3912400003,Second Section,Wholesale Trade,"March,31",100
81170,JP3515400004,Second Section,Wholesale Trade,"March,31",100
81250,JP3992000004,First Section,Wholesale Trade,The end of February,100
81290,JP3602600003,First Section,Wholesale Trade,"March,31",100
81300,JP3330000005,First Section,Wholesale Trade,"March,31",100
81310,JP3894400005,First Section,Wholesale Trade,"March,31",100
81320,JP3354000006,First Section,Wholesale Trade,"March,31",100
81330,JP3144000001,First Section,Wholesale Trade,"March,31",100
81350,JP3427000009,Second Section,Wholesale Trade,"March,31",100
81360,JP3343200006,First Section,Wholesale Trade,"March,31",100
81370,JP3345400000,First Section,Wholesale Trade,"March,31",100
81380,JP3327200006,Second Section,Wholesale Trade,"March,31",100
81390,JP3648600009,Second Section,Wholesale Trade,"March,31",100
81400,JP3975400007,First Section,Wholesale Trade,"March,31",100
81410,JP3374200008,First Section,Wholesale Trade,"March,31",100
81420,JP3553200001,First Section,Wholesale Trade,"January,31",100
81440,JP3550400000,Second Section,Wholesale Trade,"March,31",100
81500,JP3333200008,First Section,Wholesale Trade,"March,31",100
81510,JP3616600007,First Section,Wholesale Trade,"September,30",100
81520,JP3436200004,Second Section,Wholesale Trade,"March,31",100
81530,JP3922400001,First Section,Wholesale Trade,"March,31",100
81540,JP3206200002,First Section,Wholesale Trade,"March,31",100
81580,JP3431400005,First Section,Wholesale Trade,"March,31",100
81590,JP3466600008,First Section,Wholesale Trade,"March,31",100
82260,JP3970400002,Second Section,Wholesale Trade,"March,31",100
82490,JP3619200003,Second Section,Wholesale Trade,"March,31",100
82750,JP3802750004,First Section,Wholesale Trade,"March,31",100
82830,JP3782200004,First Section,Wholesale Trade,"March,31",100
82850,JP3886600000,First Section,Wholesale Trade,"March,31",100
88350,JP3448800007,First Section,Wholesale Trade,"March,31",100
92600,JP3659350007,First Section,Wholesale Trade,"December,31",100
92650,JP3936200009,First Section,Wholesale Trade,"May,31",100
92680,JP3197720000,Second Section,Wholesale Trade,"March,31",100
92730,JP3283420002,First Section,Wholesale Trade,"June,30",100
92740,JP3293350009,First Section,Wholesale Trade,"March,31",100
93050,JP3937600009,First Section,Wholesale Trade,"March,31",100
97630,JP3878000003,First Section,Wholesale Trade,"March,31",100
98100,JP3681000000,First Section,Wholesale Trade,"March,31",100
98180,JP3499200008,Second Section,Wholesale Trade,"March,31",100
98240,JP3424400004,First Section,Wholesale Trade,"October,31",100
98300,JP3635500006,First Section,Wholesale Trade,"December,31",100
98320,JP3172500005,First Section,Wholesale Trade,"March,31",100
98370,JP3926200001,First Section,Wholesale Trade,"November,30",100
98570,JP3161100007,Second Section,Wholesale Trade,"March,31",100
98690,JP3213300001,First Section,Wholesale Trade,"September,30",100
98720,JP3237400001,First Section,Wholesale Trade,"November,20",100
98800,JP3147800001,First Section,Wholesale Trade,"March,31",100
98820,JP3131350005,First Section,Wholesale Trade,"March,31",100
98850,JP3359800004,Second Section,Wholesale Trade,"March,31",100
