Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
60320,JP3152870006,First Section,Services,"March,31",100
60350,JP3100640006,First Section,Services,"March,31",100
60360,JP3236320002,First Section,Services,"June,30",100
60370,JP3802340004,First Section,Services,"July,31",100
60440,JP3325700007,First Section,Services,"May,31",100
60470,JP3273820005,First Section,Services,"May,31",100
60480,JP3548870009,First Section,Services,"August,31",100
60500,JP3130230000,First Section,Services,"September,30",100
60540,JP3974740007,First Section,Services,"December,31",100
60550,JP3389680004,First Section,Services,"March,31",100
60580,JP3835500004,First Section,Services,The end of February,100
60590,JP3157250006,First Section,Services,"March,31",100
60620,JP3512740006,First Section,Services,"June,30",100
60700,JP3244520007,First Section,Services,The end of February,100
60710,JP3104960004,First Section,Services,"December,31",100
60730,JP3117350003,First Section,Services,"March,31",100
60770,JP3165850003,First Section,Services,"December,31",100
60780,JP3778410005,First Section,Services,"December,31",100
60800,JP3167320005,First Section,Services,"September,30",100
60820,JP3966000006,First Section,Services,"March,31",100
60830,JP3130050002,First Section,Services,"May,31",100
60870,JP3122480001,First Section,Services,"September,30",100
60880,JP3348950001,First Section,Services,"March,31",100
60890,JP3154160000,First Section,Services,"March,31",100
60910,JP3154650000,Second Section,Services,"July,31",100
60930,JP3162660009,First Section,Services,The end of February,100
60950,JP3921240002,First Section,Services,"September,30",100
60960,JP3979210006,First Section,Services,"March,31",100
60980,JP3970300004,First Section,Services,"March,31",100
60990,JP3167680002,First Section,Services,"December,31",100
61710,JP3639200009,First Section,Services,"December,31",100
61750,JP3758220002,First Section,Services,"June,30",100
61780,JP3752900005,First Section,Services,"March,31",100
61830,JP3835760004,First Section,Services,The end of February,100
61840,JP3218950008,First Section,Services,"January,31",100
61850,JP3435770007,First Section,Services,"March,31",100
61860,JP3141300008,First Section,Services,"March,31",100
61870,JP3974460002,First Section,Services,"March,31",100
61880,JP3816650000,Second Section,Services,"December,31",100
61890,JP3274320005,First Section,Services,"September,30",100
61910,JP3167240005,First Section,Services,"September,30",100
61940,JP3121890002,First Section,Services,"September,30",100
61960,JP3399780000,First Section,Services,"September,30",100
61970,JP3436250009,First Section,Services,"March,31",100
61990,JP3423510001,First Section,Services,"August,31",100
62000,JP3152670000,First Section,Services,"September,30",100
65320,JP3835250006,First Section,Services,The end of February,100
65330,JP3549040008,First Section,Services,"December,31",100
